Country,University,Website
Germany,OTH Regensburg (Ostbayerische Technische Hochschule),https://www.oth-regensburg.de/
Germany,OTH Amberg-Weiden,https://www.oth-aw.de/
Germany,Hochschule Aalen,https://www.hs-aalen.de/
Germany,Hochschule Karlsruhe (HKA),https://www.h-ka.de/
Germany,Hochschule Pforzheim,https://www.hs-pforzheim.de/
Germany,Hochschule Offenburg,https://www.hs-offenburg.de/
Germany,Technische Hochschule Ulm,https://www.thu.de/
Germany,RWU Ravensburg-Weingarten University,https://www.rwu.de/
Germany,Hochschule Konstanz (HTWG),https://www.htwg-konstanz.de/
Germany,Hochschule Reutlingen,https://www.reutlingen-university.de/
Germany,Hochschule Bochum,https://www.hs-bochum.de/
Germany,Hochschule Düsseldorf (HSD),https://www.hs-duesseldorf.de/
Germany,Hochschule Koblenz,https://www.hs-koblenz.de/
Germany,Hochschule Darmstadt (h_da),https://h-da.de/
Germany,Hochschule RheinMain (Wiesbaden Rüsselsheim),https://www.hs-rm.de/
Germany,Hochschule Fulda,https://www.hs-fulda.de/
Germany,Westsächsische Hochschule Zwickau (WHZ),https://www.whz.de/
Germany,HTW Dresden (Hochschule für Technik und Wirtschaft),https://www.htw-dresden.de/
Germany,HTW Berlin,https://www.htw-berlin.de/
Germany,HTWK Leipzig,https://www.htwk-leipzig.de/
Germany,Hochschule Magdeburg-Stendal,https://www.h2.de/
Germany,Hochschule Merseburg,https://www.hs-merseburg.de/
Germany,Hochschule Wismar,https://www.hs-wismar.de/
Germany,Hochschule Bremen,https://www.hs-bremen.de/
Germany,Hochschule Bremerhaven,https://www.hs-bremerhaven.de/
Germany,Jade Hochschule (Wilhelmshaven/Oldenburg/Elsfleth),https://www.jade-hs.de/
Germany,Hochschule Emden/Leer,https://www.hs-emden-leer.de/
Germany,Hochschule Osnabrück,https://www.hs-osnabrueck.de/
Germany,Hochschule Hannover,https://www.hs-hannover.de/
Germany,HAW Hamburg (Hamburg University of Applied Sciences),https://www.haw-hamburg.de/
Germany,Hochschule Flensburg,https://hs-flensburg.de/
Germany,Hochschule Kiel,https://www.fh-kiel.de/
Germany,Christian-Albrechts-Universität zu Kiel (CAU),https://www.uni-kiel.de/
Germany,Universität Bremen,https://www.uni-bremen.de/
Germany,Leibniz Universität Hannover,https://www.uni-hannover.de/
Germany,TU Clausthal,https://www.tu-clausthal.de/
Germany,Universität Duisburg-Essen,https://www.uni-due.de/
Germany,Ruhr-Universität Bochum (RUB),https://www.ruhr-uni-bochum.de/
Germany,Universität Kassel,https://www.uni-kassel.de/
Germany,Universität Siegen,https://www.uni-siegen.de/
Germany,RPTU Kaiserslautern-Landau (formerly TU Kaiserslautern),https://rptu.de/
Germany,TU Ilmenau,https://www.tu-ilmenau.de/
Germany,Otto-von-Guericke-Universität Magdeburg (OvGU),https://www.ovgu.de/
Germany,TU Chemnitz,https://www.tu-chemnitz.de/
Germany,Hochschule Zittau/Görlitz,https://www.hszg.de/
Germany,Hochschule Mittweida,https://www.hs-mittweida.de/
Germany,Hochschule Landshut,https://www.haw-landshut.de/
Germany,Technische Hochschule Deggendorf (THD),https://www.th-deg.de/
Germany,TH Rosenheim (Technische Hochschule Rosenheim),https://www.th-rosenheim.de/
Germany,Hochschule Regensburg (OTH Regensburg),https://www.oth-regensburg.de/
Germany,Hochschule Ravensburg-Weingarten (RWU),https://www.rwu.de/
Germany,Technische Hochschule Ingolstadt (THI),https://www.thi.de/
Germany,Hochschule Aschaffenburg (TH-Ab),https://www.th-ab.de/en/research/key-research-areas/intelligent-systems/electronics-and-electric-drives/
Germany,Universität Hannover (Leibniz Universität Hannover),https://www.ial.uni-hannover.de/en/
Germany,Technische Hochschule Mittelhessen (THM),https://www.thm.de/ei/en/research/institutions-and-centers/institute-for-power-electronics-and-electrical-systems.html
Germany,University of Stuttgart,https://www.ilea.uni-stuttgart.de/en/
Germany,Technische Hochschule Nürnberg Georg Simon Ohm,https://www.th-nuernberg.de/en/facilities/institutes/elsys-institute-for-power-electronic-systems/
Germany,RWTH Aachen University,https://www.isea.rwth-aachen.de/
Germany,Hochschule Kempten,https://www.hs-kempten.de/en/research/research-institutes/institute-for-power-electronics-ile
Germany,Hochschule Hamm-Lippstadt (HSHL),https://www.hshl.de/en/studying/en-study-programs/en-bachelors-programs/en-electronic-engineering/
Germany,Technische Universität Berlin (TU Berlin),https://www.tu.berlin/en/
Germany,Technische Universität Dresden (TU Dresden),https://tu-dresden.de/en
Germany,Technische Universität Dortmund (TU Dortmund),https://www.tu-dortmund.de/en/
Germany,University of Stuttgart,https://www.uni-stuttgart.de/en/
Germany,Hochschule München (HM),https://www.hm.edu/en/
Germany,Technische Hochschule Wildau,http://www.th-wildau.de
Germany,Universität des Saarlands,http://www.uni-saarland.de
Germany,Fachhochschule Nordakademie Elmshorn,http://www.nordakademie.de
Germany,Friedrich Alexander Universität Erlangen Nürnberg,http://www.fau.eu
Greece,National Technical University of Athens (NTUA),https://www.ece.ntua.gr/en/
Greece,Aristotle University of Thessaloniki,https://www.auth.gr/en/
Greece,Technical University of Crete,https://www.tuc.gr/en/home/
Greece,University of Patras,https://www.upatras.gr/en/
Greece,University of Western Macedonia,https://www.uowm.gr/en/
Greece,University of Thessaly,https://www.uth.gr/en
Greece,Aristotle University of Thessaloniki (AUTH),http://www.auth.gr
Greece,CERTH - Centre for Research and Technology Hellas,http://www.certh.gr
Hungary,Budapest University of Technology and Economics (BME),https://www.bme.hu/?language=en
Hungary,Óbuda University,https://uni-obuda.hu/en/
Hungary,University of Debrecen,https://www.unideb.hu/en
Hungary,Széchenyi István Egyetem,http://www.sze.hu
Iceland,University of Iceland,https://english.hi.is/
Iceland,Reykjavik University,https://en.ru.is/
Ireland,University College Dublin (UCD),https://www.ucd.ie/
Ireland,University College Cork (UCC),https://www.ucc.ie/en/
Ireland,University of Galway,https://www.universityofgalway.ie/
Ireland,University of Limerick,https://www.ul.ie/
Ireland,South East Technological University,http://www.setu.ie
Italy,Politecnico di Milano (PoliMi),https://www.polimi.it/en/
Italy,Politecnico di Torino (PoliTO),https://www.polito.it/
Italy,University of Padua (UNIPD),https://www.unipd.it/en/
Italy,University of Bologna (UNIBO),https://www.unibo.it/en
Italy,University of Pisa (UNIPI),https://www.unipi.it/
Italy,Sapienza University of Rome,https://www.uniroma1.it/en/
Italy,University of Naples Federico II,https://www.unina.it/en_gb/home
Italy,Politecnico di Bari,https://www.poliba.it/
Italy,Politecnico di Milano,https://www.polimi.it/en/
Italy,Politecnico di Milano,https://www.energy.polimi.it/
Italy,Politecnico di Torino,https://www.polito.it/
Italy,University of Padua (Università degli Studi di Padova),https://www.unipd.it/en/
Italy,University of Bologna (Università di Bologna),https://www.unibo.it/en
Italy,University of Pisa (Università di Pisa),https://www.unipi.it/
Italy,Sapienza University of Rome (Sapienza Università di Roma),https://www.uniroma1.it/en/
Italy,University of Naples Federico II (Università degli Studi di Napoli Federico II),https://www.unina.it/en_gb/home
Italy,University of Rome Tor Vergata (Università degli Studi di Roma Tor Vergata),https://web.uniroma2.it/
Italy,Roma Tre University (Università degli Studi Roma Tre),https://www.uniroma3.it/en/
Italy,University of Genoa (Università di Genova),https://unige.it/
Italy,University of Florence (Università degli Studi di Firenze),https://www.unifi.it/
Italy,University of Trento (Università degli Studi di Trento),https://www.unitn.it/
Italy,University of Trieste (Università degli Studi di Trieste),https://www.units.it/
Italy,University of Udine (Università degli Studi di Udine),https://www.uniud.it/
Italy,University of Pavia (Università degli Studi di Pavia),https://portale.unipv.it
Italy,University of Brescia (Università degli Studi di Brescia),https://www.unibs.it/
Italy,University of Bergamo (Università degli Studi di Bergamo),https://www.unibg.it/
Italy,University of Verona (Università degli Studi di Verona),https://www.univr.it/
Italy,University of Modena and Reggio Emilia (Università degli Studi di Modena e Reggio Emilia),https://www.unimore.it/
Italy,University of Ferrara (Università degli Studi di Ferrara),https://www.unife.it/
Italy,University of Parma (Università degli Studi di Parma),https://www.unipr.it/
Italy,University of Siena (Università degli Studi di Siena),https://www.unisi.it/
Italy,University of Perugia (Università degli Studi di Perugia),https://www.unipg.it/
Italy,University of L'Aquila (Università degli Studi dell'Aquila),https://www.univaq.it/
Italy,University of Cassino and Southern Lazio (Università degli Studi di Cassino e del Lazio Meridionale),https://www.unicas.it/
Italy,University of Salerno (Università degli Studi di Salerno),https://www.unisa.it/
Italy,University of Sannio (Università degli Studi del Sannio Benevento),https://www.unisannio.it/
Italy,University of Calabria (Università della Calabria),https://www.unical.it/
Italy,University of Cagliari (Università degli Studi di Cagliari),https://www.unica.it/
Italy,University of Sassari (Università degli Studi di Sassari),https://www.uniss.it/
Italy,University of Palermo (Università degli Studi di Palermo),https://www.unipa.it/
Italy,University of Messina (Università degli Studi di Messina),https://www.unime.it/
Italy,University of Catania (Università degli Studi di Catania),https://www.unict.it/
Italy,University of Foggia (Università degli Studi di Foggia),https://www.unifg.it/
Italy,University of Salento (Università del Salento),https://www.unisalento.it/
Italy,University of Campania Luigi Vanvitelli (Università degli Studi della Campania Luigi Vanvitelli),https://www.unicampania.it/
Italy,University of Basilicata (Università degli Studi della Basilicata),https://www.unibas.it/
Italy,Mediterranea University of Reggio Calabria (Università Mediterranea di Reggio Calabria),https://www.unirc.it/
Italy,Marche Polytechnic University (Università Politecnica delle Marche),https://www.univpm.it/
Italy,Free University of Bozen-Bolzano (Libera Università di Bolzano),https://www.unibz.it/
Italy,University of Insubria (Università degli Studi dell'Insubria),https://www.uninsubria.it/
Italy,Sant'Anna School of Advanced Studies (Scuola Superiore Sant'Anna Pisa),https://www.santannapisa.it/
Italy,Gran Sasso Science Institute (GSSI),https://www.gssi.it/
Italy,CNR (IEIIT),https://www.ieiit.cnr.it/
Italy,CNR (ITAE),https://www.itae.cnr.it/
Italy,CNR (STEMS),https://www.stems.cnr.it/
Italy,ENEA,https://www.enea.it/
Italy,RSE (Ricerca sul Sistema Energetico),https://www.rse-web.it/
Italy,CESI SpA,https://www.cesi.it/
Italy,INRiM (National Institute of Metrological Research),https://www.inrim.it/
Italy,University of Turin (Università degli Studi di Torino),https://www.unito.it/
Italy,University of Milan-Bicocca (Università degli Studi di Milano-Bicocca),https://www.unimib.it/
Italy,University of Camerino (Università degli Studi di Camerino),https://www.unicam.it/
Italy,University of Sannio (duplicate),https://www.unisannio.it/
Italy,University of Chieti-Pescara (Università degli Studi G. d'Annunzio Chieti-Pescara),https://www.unich.it/
Italy,University of Pisa (Università di Pisa),https://www.unipi.it/
Italy,University of Udine (Università degli Studi di Udine),https://www.uniud.it/
Italy,University of Padua (Università degli Studi di Padova),https://www.dei.unipd.it/
Italy,Politecnico di Torino,https://www.polito.it/
Italy,University of Florence (Università degli Studi di Firenze),https://www.unifi.it/
Italy,University of Genoa (Università di Genova),https://unige.it/
Italy,University of Catania (Università degli Studi di Catania),https://www.unict.it/
Kosovo,University of Prishtina,https://uni-pr.edu/
Latvia,Riga Technical University (RTU),https://www.rtu.lv/en
Latvia,University of Latvia,https://www.lu.lv/en/
Latvia,Riga Technical College,https://www.rtk.lv/en/
Lithuania,Kaunas University of Technology (KTU),https://ktu.edu/
Lithuania,Vilnius Gediminas Technical University (VILNIUS TECH),https://vilniustech.lt/
Lithuania,Vilnius University,https://www.vu.lt/en/
Luxembourg,University of Luxembourg,https://www.uni.lu/
Luxembourg,University of Luxembourg,http://www.uni.lu
Malta,University of Malta,https://www.um.edu.mt/
Malta,The Foundation for Innovation and Research - Malta,http://www.fir.mt
Moldova,Technical University of Moldova (UTM),https://utm.md/
Moldova,Academy of Economic Studies of Moldova (Technical Faculty),https://ase.md/en/
Montenegro,University of Donja Gorica,https://www.udg.edu.me/
Montenegro,University of Montenegro (ETF),https://www.ucg.ac.me/
Montenegro,University Mediterranean Podgorica,https://unimediteran.net/
Montenegro,Univerisity of Montenegro,http://www.ucg.ac.me
Netherlands,Delft University of Technology (TU Delft),https://www.tudelft.nl/
Netherlands,Eindhoven University of Technology (TU/e),https://www.tue.nl/en/
Netherlands,University of Twente,https://www.utwente.nl/en/
Netherlands,University of Groningen,https://www.rug.nl/
Netherlands,Amsterdam University of Applied Sciences,http://www.hva.nl
Netherlands,Windesheim,http://www.windesheim.nl
Netherlands,SRON Space Research Organisation Netherlands,http://www.sron.nl
Netherlands,HAN University of Applied Sciences,http://www.han.nl
Netherlands,ISPT,http://www.ispt.eu
North Macedonia,University Goce Delčev,https://www.ugd.edu.mk/
North Macedonia,Ss. Cyril and Methodius University in Skopje (FEIT),https://feit.ukim.edu.mk/en/
North Macedonia,St. Kliment Ohridski University – Bitola,https://uklo.edu.mk/
Norway,Norwegian University of Science and Technology (NTNU),https://www.ntnu.edu/
Norway,University of Stavanger,https://www.uis.no/en
Norway,University of Agder,https://www.uia.no/en
Norway,Western Norway University of Applied Sciences (HVL),https://www.hvl.no/en/
Poland,Warsaw University of Technology,https://www.pw.edu.pl/
Poland,Gdańsk University of Technology,https://pg.edu.pl/en/
Poland,Silesian University of Technology,https://www.polsl.pl/en/
Poland,AGH University of Krakow,https://www.agh.edu.pl/en
Poland,Poznań University of Technology,https://www.put.poznan.pl/en
Poland,Wrocław University of Science and Technology,https://pwr.edu.pl/en/
Poland,Lodz University of Technology,https://p.lodz.pl/en
Poland,BOSMAL,http://www.bosmal.com.pl
Poland,Politechnika Czestochowska,http://www.pcz.pl
Portugal,Instituto Superior Técnico (University of Lisbon),https://tecnico.ulisboa.pt/en/
Portugal,University of Porto (FEUP),https://www.up.pt/
Portugal,University of Coimbra,https://www.uc.pt/en
Portugal,University of Aveiro,https://www.ua.pt/en/
Portugal,University of Minho,https://www.uminho.pt/en
Portugal,Polytechnic Institute of Porto (ISEP),https://www.isep.ipp.pt/
Portugal,University of Beira Interior,https://www.ubi.pt/en
Portugal,Polytechnic Institute of Setúbal,https://www.estsetubal.ips.pt/
Portugal,University of Évora,https://www.uevora.pt/en/
Portugal,Polytechnic of Leiria,https://www.ipleiria.pt/
Romania,University Politehnica of Bucharest,https://upb.ro/en/
Romania,Politehnica University of Timișoara,https://www.upt.ro/
Romania,Technical University of Cluj-Napoca,https://www.utcluj.ro/en/
Romania,Gheorghe Asachi Technical University of Iași,https://www.tuiasi.ro/
Romania,Transilvania University of Brașov,https://unitbv.ro/en/
Romania,University of Oradea,https://www.uoradea.ro/
Romania,Ovidius University of Constanta,http://www.univ-ovidius.ro
Romania,National University of Science and Technology POLITEHNICA Bucharest,http://www.upb.ro
Romania,EPG,http://www.epg-thinktank.org
Serbia,University of Belgrade (ETF),https://www.etf.bg.ac.rs/en
Serbia,University of Novi Sad (FTN),https://www.ftn.uns.ac.rs/
Serbia,University of Niš (Elektronski),https://www.elfak.ni.ac.rs/en/
Serbia,University of Kragujevac,https://www.fink.rs/en/
Serbia,University of Nis,https://www.masfak.ni.ac.rs/
Slovakia,Slovak University of Technology in Bratislava (STU),https://www.stuba.sk/english.html
Slovakia,University of Žilina (UNIZA),https://www.uniza.sk/en/
Slovakia,Technical University of Košice (TUKE),https://tuke.sk/wps/portal/tuke/!ut/p/z1/
Slovakia,Slovenská technická univerzita v Bratislave,http://www.stuba.sk
Slovakia,Technical University of Košice,http://www.tuke.sk
Slovenia,University of Ljubljana,https://fe.uni-lj.si/en/
Slovenia,University of Maribor,https://feri.um.si/en/
Slovenia,Jožef Stefan Institute (affiliated with University of Ljubljana),https://ijs.si/ijsw/department+of+systems+and+control
Spain,Universidad Politécnica de Madrid (UPM),https://www.upm.es/
Spain,Universitat Politècnica de Catalunya (UPC BarcelonaTech),https://www.upc.edu/en
Spain,Universitat Politècnica de València (UPV),https://www.upv.es/
Spain,Universidad de Sevilla,https://www.us.es/
Spain,Universidad de Oviedo,https://www.uniovi.es/en
Spain,Universidad de Zaragoza,https://www.unizar.es/
Spain,Universidad Pontificia Comillas (ICAI),https://www.comillas.edu/en/
Spain,Mondragon Unibertsitatea,https://www.mondragon.edu/en
Spain,Universidad de Vigo,https://www.uvigo.gal/en
Spain,Universidad de Alcalá,https://www.uah.es/en/
Spain,University of the Basque Country (UPV/EHU),https://www.ehu.eus/en/en-home
Spain,Universidad de Castilla-La Mancha,https://www.uclm.es/en
Spain,University of Valladolid,http://www.uva.es
Spain,University of Las Palmas de Gran Canaria,http://www.ulpgc.es
Spain,IKERLAN,http://www.ikerlan.es
Spain,Universitat de les Illes Balears,http://www.uib.cat
Spain,IQS SCHOOL OF ENGINEERING,http://www.salleurl.edu
Spain,IECON 2025,http://www.iecon-2024.org
Spain,Tekniker,http://www.tekniker.es
Spain,Public University of Navarre,http://www.unavarra.es
Spain,Universidad Rey Juan Carlos,http://www.urjc.es
Spain,Tecnun,http://www.tecnun.es
Spain,Universitat de Girona,http://www.udg.edu
Spain,Universidade de Vigo,http://www.uvigo.es
Spain,University of Granada,http://www.ugr.es
Spain,CARTIF,http://www.cartif.es
Spain,Universitat Poliecnica de Catalunya,http://www.upc.edu
Sweden,KTH Royal Institute of Technology,https://www.kth.se/en/eecs
Sweden,Chalmers University of Technology,https://www.chalmers.se/en/
Sweden,Lund University,https://www.lu.se/
Sweden,Uppsala University,https://www.uu.se/en/
Sweden,Luleå University of Technology,https://www.ltu.se/?l=en
Sweden,Mid Sweden University,https://www.miun.se/en/
Sweden,Linköping University,http://www.liu.se
Sweden,Halmstad University,http://www.hh.se
Switzerland,ETH Zürich,https://ethz.ch/en.html
Switzerland,EPFL Lausanne,https://www.epfl.ch/en/
Switzerland,ZHAW School of Engineering,https://www.zhaw.ch/en/engineering/
Switzerland,Switzerland Innovation,http://www.switzerland-innovation.com
Switzerland,HES-SO University of Applied Sciences and Arts Western Switzerland,http://www.hes-so.ch
Switzerland,Empa,http://www.empa.ch
Switzerland,CSEM,http://www.csem.ch
Tuerkiye,İstinye Üniversitesi,http://www.istinye.edu.tr
Turkey,Istanbul Technical University (ITU),https://www.itu.edu.tr/en/
Turkey,Middle East Technical University (METU),https://eee.metu.edu.tr/
Turkey,Yildiz Technical University,https://www.yildiz.edu.tr/
Turkey,Mersin University,http://www.mersin.edu.tr
Turkey,Uşak Üniversitesi,http://www.usak.edu.tr
Turkey,Boğaziçi University,http://www.bogazici.edu.tr
Turkey,Pamukkale University,http://www.pau.edu.tr
Turkey,Cumhuriyet University,http://www.cumhuriyet.edu.tr
Turkey,SAMSUN UNIVERSITY,http://www.samsun.edu.tr
Turkey,Adana Alparslan Turkes Science and Technology University,http://www.atu.edu.tr
Turkey,Fırat,http://www.firat.edu.tr
Turkey,Sabanci University,http://www.sabanciuniv.edu
Turkey,Necmettin Erbakan University,http://www.erbakan.edu.tr
Ukraine,National Technical University of Ukraine 'Igor Sikorsky KPI',https://kpi.ua/en
Ukraine,Lviv Polytechnic National University,https://lpnu.ua/en
Ukraine,Kharkiv National University of Radio Electronics,https://nure.ua/en
Ukraine,National Technical University "Kharkiv Polytechnic Institute",https://www.kpi.kharkov.ua/eng/
Ukraine,Odessa National Polytechnic University,https://opu.ua/en
Ukraine,Sumy State University,https://sumdu.edu.ua/en/
Ukraine,Kryvyi Rih National University,http://www.knu.edu.ua
Ukraine,National Technical University of Ukraine "Igor Sikorsky Kyiv Polytechnic Institute",http://www.kpi.ua
United Kingdom,University of Nottingham,https://www.nottingham.ac.uk/engineering/
United Kingdom,University of Bristol,https://www.bristol.ac.uk/engineering/departments/electrical/
United Kingdom,University of Manchester,https://www.manchester.ac.uk/
United Kingdom,University of Sheffield,https://www.sheffield.ac.uk/eee
United Kingdom,Imperial College London,https://www.imperial.ac.uk/electrical-engineering/
United Kingdom,University of Strathclyde,https://www.strath.ac.uk/engineering/electronicelectricalengineering/
United Kingdom,Newcastle University,https://www.ncl.ac.uk/engineering/
United Kingdom,University of Warwick (WMG),https://warwick.ac.uk/
United Kingdom,University of Edinburgh,https://www.eng.ed.ac.uk/
United Kingdom,University of Bath,https://www.bath.ac.uk/topics/electrical-engineering/
United Kingdom,University of Cambridge,https://eng.cam.ac.uk/
United Kingdom,University of Oxford,https://eng.ox.ac.uk/
United Kingdom,Aston University,https://research.aston.ac.uk/en/organisations/power-electronics-machines-and-power-system-pemps-group/
United Kingdom,Brunel University London,https://www.brunel.ac.uk/research/centres/power-systems/power-electronics
United Kingdom,Coventry University,https://www.coventry.ac.uk/faculties-and-schools/engineering-environment-and-computing/schools/electrical-electronic-engineering/
United Kingdom,Cranfield University,https://www.cranfield.ac.uk/schools/sae/research/areas/power-and-electrical-systems
United Kingdom,Loughborough University,https://www.lboro.ac.uk/departments/meme/
United Kingdom,London South Bank University,https://www.lsbu.ac.uk/study/courses/undergraduate/electrical-and-electronic-engineering-beng-hons
United Kingdom,Newcastle University,https://www.ncl.ac.uk/engineering/research/electrical-electronic-engineering/electrical-power/electronics/
United Kingdom,Queen's University Belfast,https://www.qub.ac.uk/eeecs/
United Kingdom,Robert Gordon University,https://www.rgu.ac.uk/schools/school-of-engineering/electrical-and-electronic-engineering
United Kingdom,Sheffield Hallam University,https://www.shu.ac.uk/study-here/find-a-course/engineering-electrical-electronic-engineering
United Kingdom,Swansea University,https://www.swansea.ac.uk/staff/science-and-engineering/school-of-aerospace-civil-electrical-and-mechanical-engineering-staff/electrical/
United Kingdom,Ulster University,https://www.ulster.ac.uk/cei/electrical-engineering/
United Kingdom,University of Aberdeen,https://www.abdn.ac.uk/engineering/research/groups/electrical-systems-and-electronics/facilities/
United Kingdom,University of Birmingham,https://www.birmingham.ac.uk/schools/engineering/eese/people
United Kingdom,University of Bradford,https://www.bradford.ac.uk/engineering-digital-arts/
United Kingdom,University of Bristol,https://www.bristol.ac.uk/research/groups/em/power-electronics/
United Kingdom,University of Cambridge,https://www.eng.cam.ac.uk/research/academic-divisions/electrical-engineering/research-groups/electrical-power-and-energy
United Kingdom,University of Derby,https://www.derby.ac.uk/engineering/
United Kingdom,University of East Anglia (UEA),https://www.uea.ac.uk/study/undergraduate/subject/electrical-engineering
United Kingdom,University of Exeter,https://engineering.exeter.ac.uk/renewable-energy/electrical-power-systems/
United Kingdom,University of Glasgow,https://www.gla.ac.uk/study/postgraduate/taught/electricalpoweranddrives/
United Kingdom,University of Greenwich,https://www.gre.ac.uk/science-engineering-computing-mathematics/engineering
United Kingdom,University of Hull,https://www.hull.ac.uk/science-engineering/departments/electrical-electronic-engineering
United Kingdom,University of Leeds,https://www.leeds.ac.uk/engineering/electronic-electrical-engineering
United Kingdom,University of Leicester,https://www.le.ac.uk/engineering/electrical-electronic/
United Kingdom,University of Liverpool,https://www.liverpool.ac.uk/electrical-engineering-and-electronics/research/energy-technologies/energy-and-power/
United Kingdom,University of Manchester,https://www.eee.manchester.ac.uk/research/expertise/power-electronics/
United Kingdom,University of Nottingham,https://www.nottingham.ac.uk/research/groups/pemc/home.aspx
United Kingdom,University of Oxford,https://eng.ox.ac.uk/power-electronics-group/
United Kingdom,University of Portsmouth,https://www.port.ac.uk/departments/engineering-and-technology/electrical-electronic-engineering/
United Kingdom,University of Sheffield,https://sheffield.ac.uk/eee/research/themes/electrical-machines-and-power
United Kingdom,University of Southampton,https://www.southampton.ac.uk/research/institutes-centres/electrical-power-engineering/our-people
